20170531 16 16 101  2.01  0.641 0.521 0.157
20170614 14 44  69  2.03  0.640 0.517 0.120
20170629 16 11  81  1.94  0.598 0.483 0.088
20170714 13 00  47  1.57  0.473 0.382 0.108
20170730 17 25  94  2.23  0.650 0.528 0.128
20170801 14 33  28  2.15  0.627 0.508 0.093
20170807 16 21  66  2.13  0.614 0.498 0.067
20170808 16 38  78  1.97  0.568 0.460 0.074
20170824 10 32  39  1.94  0.547 0.442 0.112
20170913 15 32  60  2.29  0.625 0.509 0.127
20170919 14 39  19  2.12  0.579 0.469 0.066
20170927 14 53  71  2.44  0.659 0.536 0.124
20171027 13 38  60  2.47  0.667 0.540 0.171
20171113 12 26  46  2.35  0.635 0.518 0.139
20171213 15 16  39  2.23  0.629 0.509 0.179
20180105  7 58  18  2.11  0.615 0.499 0.138
20180125  5 40  15  2.01  0.606 0.492 0.153
